Particle n(H,0) n(H,1) n(C+,0) n(C+,1) n(O,0) n(O,1) n(O,2) n(O,3) n(O,4) n(C,0) n(C,1) n(C,2) n(C,3) n(C,4) n(CO,0) n(CO,1) n(CO,2) n(CO,3) n(CO,4) n(CO,5) n(CO,6) n(CO,7) n(CO,8) n(CO,9) n(CO,10) n(CO,11) n(CO,12) n(CO,13) n(CO,14) n(CO,15) n(CO,16) n(CO,17) n(CO,18) n(CO,19) n(CO,20) n(CO,21) n(CO,22) n(CO,23) n(CO,24) n(CO,25) n(CO,26) n(CO,27) n(CO,28) n(CO,29) n(CO,30) n(CO,31) n(CO,32) n(CO,33) n(CO,34) n(CO,35) n(CO,36) n(CO,37) n(CO,38) n(CO,39) n(CO,40) n(p-H2,0) n(p-H2,1) n(p-H2,2) n(p-H2,3) n(p-H2,4) n(p-H2,5) n(p-H2,6) n(p-H2,7) n(p-H2,8) n(p-H2,9) n(p-H2,10) n(p-H2,11) n(p-H2,12) n(p-H2,13) n(p-H2,14) n(p-H2,15) n(p-H2,16) n(p-H2,17) n(p-H2,18) n(p-H2,19) n(p-H2,20) n(p-H2,21) n(p-H2,22) n(p-H2,23) n(p-H2,24) n(p-H2,25) n(p-H2,26) n(p-H2,27) n(o-H2,0) n(o-H2,1) n(o-H2,2) n(o-H2,3) n(o-H2,4) n(o-H2,5) n(o-H2,6) n(o-H2,7) n(o-H2,8) n(o-H2,9) n(o-H2,10) n(o-H2,11) n(o-H2,12) n(o-H2,13) n(o-H2,14) n(o-H2,15) n(o-H2,16) n(o-H2,17) n(o-H2,18) n(o-H2,19) n(o-H2,20) n(o-H2,21) n(o-H2,22) n(o-H2,23) n(o-H2,24) 
11 3.16227E+05 1.75032E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 0.00000E+00 7.74430E-06 2.28006E-05 3.68046E-05 4.82093E-12 3.22600E-21 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60393E-15 2.39153E-15 1.25721E-15 7.32639E-16 4.21855E-16 2.60787E-16 1.59351E-16 1.01145E-16 6.50547E-17 4.26806E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62383E-18 5.93013E-18 4.04319E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13421E-19 6.33050E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94294E-20 6.79496E-20 4.61221E-20 3.09815E-20 2.05061E-20 1.32838E-20 8.30776E-21 4.90861E-21 2.60670E-21 1.04581E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41301E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65440E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34572E-07 7.36622E-07 1.33984E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38442E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24186E-05 7.11345E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59419E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55342E-09 4.38883E-09 2.47720E-09
12 3.16227E+05 1.75032E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 0.00000E+00 7.74430E-06 2.28006E-05 3.68046E-05 4.82093E-12 3.22600E-21 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60393E-15 2.39153E-15 1.25721E-15 7.32639E-16 4.21855E-16 2.60787E-16 1.59351E-16 1.01145E-16 6.50547E-17 4.26806E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62383E-18 5.93013E-18 4.04319E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13421E-19 6.33050E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94294E-20 6.79496E-20 4.61221E-20 3.09815E-20 2.05061E-20 1.32838E-20 8.30776E-21 4.90861E-21 2.60670E-21 1.04581E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41301E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65440E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34572E-07 7.36622E-07 1.33984E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38442E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24186E-05 7.11345E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59419E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55342E-09 4.38883E-09 2.47720E-09
13 3.16227E+05 1.75599E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 3.55618E-17 7.74430E-06 2.28006E-05 3.68047E-05 4.82093E-12 1.12894E-20 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60393E-15 2.39153E-15 1.25721E-15 7.32639E-16 4.21855E-16 2.60787E-16 1.59351E-16 1.01145E-16 6.50548E-17 4.26806E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62383E-18 5.93013E-18 4.04319E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13421E-19 6.33050E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94294E-20 6.79496E-20 4.61221E-20 3.09815E-20 2.05064E-20 1.32841E-20 8.30797E-21 4.90879E-21 2.60714E-21 1.04611E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41301E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65440E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34572E-07 7.36622E-07 1.33984E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38442E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24186E-05 7.11345E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59419E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55342E-09 4.38883E-09 2.47720E-09
14 3.16227E+05 1.75599E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 3.55618E-17 7.74430E-06 2.28006E-05 3.68047E-05 4.82093E-12 1.12894E-20 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60393E-15 2.39153E-15 1.25721E-15 7.32639E-16 4.21855E-16 2.60787E-16 1.59351E-16 1.01145E-16 6.50548E-17 4.26806E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62383E-18 5.93013E-18 4.04319E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13421E-19 6.33050E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94294E-20 6.79496E-20 4.61221E-20 3.09815E-20 2.05064E-20 1.32841E-20 8.30797E-21 4.90879E-21 2.60714E-21 1.04611E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41301E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65440E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34572E-07 7.36622E-07 1.33984E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38442E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24186E-05 7.11345E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59419E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55342E-09 4.38883E-09 2.47720E-09
15 3.16227E+05 1.76072E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 4.85723E-17 7.74431E-06 2.28006E-05 3.68047E-05 4.82093E-12 8.91039E-21 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60393E-15 2.39153E-15 1.25721E-15 7.32639E-16 4.21856E-16 2.60788E-16 1.59351E-16 1.01145E-16 6.50548E-17 4.26806E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62383E-18 5.93013E-18 4.04319E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13421E-19 6.33050E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94296E-20 6.79496E-20 4.61222E-20 3.09818E-20 2.05062E-20 1.32839E-20 8.30778E-21 4.90880E-21 2.60683E-21 1.04643E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41301E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65440E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34572E-07 7.36623E-07 1.33984E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38442E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24186E-05 7.11345E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59419E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55342E-09 4.38883E-09 2.47720E-09
16 3.16227E+05 1.76072E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 4.85723E-17 7.74431E-06 2.28006E-05 3.68047E-05 4.82093E-12 8.91039E-21 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60393E-15 2.39153E-15 1.25721E-15 7.32639E-16 4.21856E-16 2.60788E-16 1.59351E-16 1.01145E-16 6.50548E-17 4.26806E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62383E-18 5.93013E-18 4.04319E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13421E-19 6.33050E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94296E-20 6.79496E-20 4.61222E-20 3.09818E-20 2.05062E-20 1.32839E-20 8.30778E-21 4.90880E-21 2.60683E-21 1.04643E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41301E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65440E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34572E-07 7.36623E-07 1.33984E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38442E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24186E-05 7.11345E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59419E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55342E-09 4.38883E-09 2.47720E-09
17 3.16227E+05 1.76472E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 9.19403E-17 7.74431E-06 2.28006E-05 3.68047E-05 4.82093E-12 1.14316E-20 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60394E-15 2.39153E-15 1.25721E-15 7.32639E-16 4.21856E-16 2.60788E-16 1.59351E-16 1.01145E-16 6.50548E-17 4.26806E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62384E-18 5.93013E-18 4.04319E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13421E-19 6.33050E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94295E-20 6.79497E-20 4.61222E-20 3.09817E-20 2.05063E-20 1.32841E-20 8.30807E-21 4.90877E-21 2.60702E-21 1.04703E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41301E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65440E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34572E-07 7.36623E-07 1.33984E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38442E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24186E-05 7.11345E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59419E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55342E-09 4.38883E-09 2.47720E-09
18 3.16227E+05 1.76472E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 9.19403E-17 7.74431E-06 2.28006E-05 3.68047E-05 4.82093E-12 1.14316E-20 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60394E-15 2.39153E-15 1.25721E-15 7.32639E-16 4.21856E-16 2.60788E-16 1.59351E-16 1.01145E-16 6.50548E-17 4.26806E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62384E-18 5.93013E-18 4.04319E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13421E-19 6.33050E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94295E-20 6.79497E-20 4.61222E-20 3.09817E-20 2.05063E-20 1.32841E-20 8.30807E-21 4.90877E-21 2.60702E-21 1.04703E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41301E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65440E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34572E-07 7.36623E-07 1.33984E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38442E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24186E-05 7.11345E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59419E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55342E-09 4.38883E-09 2.47720E-09
19 3.16227E+05 1.76814E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 5.46438E-17 7.74431E-06 2.28006E-05 3.68047E-05 4.82093E-12 7.42808E-21 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60394E-15 2.39153E-15 1.25721E-15 7.32639E-16 4.21856E-16 2.60788E-16 1.59351E-16 1.01145E-16 6.50548E-17 4.26806E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62384E-18 5.93013E-18 4.04319E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13422E-19 6.33051E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94295E-20 6.79497E-20 4.61223E-20 3.09817E-20 2.05067E-20 1.32840E-20 8.30805E-21 4.90888E-21 2.60745E-21 1.04675E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41301E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65441E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34572E-07 7.36623E-07 1.33985E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38441E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24187E-05 7.11345E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59419E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55342E-09 4.38883E-09 2.47720E-09
20 3.16227E+05 1.76814E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 5.46438E-17 7.74431E-06 2.28006E-05 3.68047E-05 4.82093E-12 7.42808E-21 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60394E-15 2.39153E-15 1.25721E-15 7.32639E-16 4.21856E-16 2.60788E-16 1.59351E-16 1.01145E-16 6.50548E-17 4.26806E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62384E-18 5.93013E-18 4.04319E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13422E-19 6.33051E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94295E-20 6.79497E-20 4.61223E-20 3.09817E-20 2.05067E-20 1.32840E-20 8.30805E-21 4.90888E-21 2.60745E-21 1.04675E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41301E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65441E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34572E-07 7.36623E-07 1.33985E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38441E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24187E-05 7.11345E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59419E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55342E-09 4.38883E-09 2.47720E-09
21 3.16227E+05 1.77111E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 0.00000E+00 7.74431E-06 2.28007E-05 3.68047E-05 4.82093E-12 1.68513E-20 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60394E-15 2.39153E-15 1.25721E-15 7.32640E-16 4.21856E-16 2.60788E-16 1.59351E-16 1.01145E-16 6.50548E-17 4.26806E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62384E-18 5.93013E-18 4.04319E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13422E-19 6.33051E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94294E-20 6.79495E-20 4.61222E-20 3.09815E-20 2.05064E-20 1.32838E-20 8.30763E-21 4.90850E-21 2.60694E-21 1.04652E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41301E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65441E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34572E-07 7.36623E-07 1.33985E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38441E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24187E-05 7.11345E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59420E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55342E-09 4.38883E-09 2.47720E-09
22 3.16227E+05 1.77111E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 0.00000E+00 7.74431E-06 2.28007E-05 3.68047E-05 4.82093E-12 1.68513E-20 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60394E-15 2.39153E-15 1.25721E-15 7.32640E-16 4.21856E-16 2.60788E-16 1.59351E-16 1.01145E-16 6.50548E-17 4.26806E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62384E-18 5.93013E-18 4.04319E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13422E-19 6.33051E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94294E-20 6.79495E-20 4.61222E-20 3.09815E-20 2.05064E-20 1.32838E-20 8.30763E-21 4.90850E-21 2.60694E-21 1.04652E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41301E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65441E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34572E-07 7.36623E-07 1.33985E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38441E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24187E-05 7.11345E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59420E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55342E-09 4.38883E-09 2.47720E-09
23 3.16227E+05 1.77371E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 4.59702E-17 7.74432E-06 2.28007E-05 3.68047E-05 4.82094E-12 8.69863E-21 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60394E-15 2.39153E-15 1.25721E-15 7.32640E-16 4.21856E-16 2.60788E-16 1.59351E-16 1.01145E-16 6.50548E-17 4.26806E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62384E-18 5.93013E-18 4.04320E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13422E-19 6.33051E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94295E-20 6.79498E-20 4.61223E-20 3.09817E-20 2.05067E-20 1.32840E-20 8.30813E-21 4.90900E-21 2.60739E-21 1.04726E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41301E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65441E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34572E-07 7.36623E-07 1.33985E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38441E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24187E-05 7.11346E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59420E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55342E-09 4.38883E-09 2.47720E-09
24 3.16227E+05 1.77371E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 4.59702E-17 7.74432E-06 2.28007E-05 3.68047E-05 4.82094E-12 8.69863E-21 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60394E-15 2.39153E-15 1.25721E-15 7.32640E-16 4.21856E-16 2.60788E-16 1.59351E-16 1.01145E-16 6.50548E-17 4.26806E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62384E-18 5.93013E-18 4.04320E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13422E-19 6.33051E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94295E-20 6.79498E-20 4.61223E-20 3.09817E-20 2.05067E-20 1.32840E-20 8.30813E-21 4.90900E-21 2.60739E-21 1.04726E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41301E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65441E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34572E-07 7.36623E-07 1.33985E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38441E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24187E-05 7.11346E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59420E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55342E-09 4.38883E-09 2.47720E-09
25 3.16227E+05 1.77600E-32 1.10674E+01 2.05553E+01 6.15467E+01 2.50336E+01 8.28784E+00 3.29055E-08 4.25007E-17 7.74432E-06 2.28007E-05 3.68047E-05 4.82094E-12 9.96256E-21 2.49988E-09 9.90925E-10 2.90549E-11 1.70377E-13 2.51405E-14 1.02296E-14 4.60394E-15 2.39153E-15 1.25721E-15 7.32640E-16 4.21856E-16 2.60788E-16 1.59352E-16 1.01145E-16 6.50548E-17 4.26807E-17 2.82879E-17 1.88564E-17 1.27487E-17 8.62384E-18 5.93013E-18 4.04320E-18 2.78226E-18 1.91233E-18 1.32182E-18 9.13422E-19 6.33051E-19 4.38318E-19 3.03293E-19 2.09915E-19 1.44699E-19 9.94294E-20 6.79496E-20 4.61223E-20 3.09815E-20 2.05065E-20 1.32842E-20 8.30796E-21 4.90866E-21 2.60701E-21 1.04649E-21 2.09596E-03 7.31968E-03 5.83200E-03 2.41302E-03 5.75586E-04 1.02545E-05 3.71185E-05 3.25711E-05 7.65441E-05 1.59957E-05 4.67942E-06 6.63715E-08 5.22639E-06 2.46209E-07 2.34573E-07 7.36623E-07 1.33985E-07 1.43617E-07 4.54383E-08 4.04879E-10 4.66167E-08 1.53175E-09 1.57463E-09 1.60645E-09 6.71223E-09 1.08806E-09 9.38441E-23 4.03548E-10 1.66816E-02 2.15792E-02 1.20698E-02 3.80262E-03 9.53150E-05 1.30655E-04 7.00021E-04 8.24187E-05 7.11346E-05 3.06541E-05 6.76170E-07 9.67561E-07 6.59420E-06 3.73313E-06 6.76636E-07 7.01022E-07 2.83902E-07 4.65928E-09 8.44394E-08 6.94306E-09 6.13503E-08 3.13533E-08 5.55341E-09 4.38883E-09 2.47720E-09
