Time,Density,gasTemp,dustTemp,av,H2O ,H2  ,H   ,H+  ,HE+ ,C   ,C+  ,O   ,O+  ,CO  ,CO+ ,E-  
  1.000E-07, 1.0000E+03,  100.00,   14.69, 1.0169E+02, 1.238E-30, 3.000E-01, 4.000E-01, 1.660E-17, 4.269E-18, 1.860E-15, 1.000E-04, 3.000E-04, 7.623E-20, 4.380E-28, 1.778E-22, 1.000E-04
  2.000E-07, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 2.429E-30, 3.000E-01, 4.000E-01, 3.320E-17, 8.538E-18, 3.721E-15, 1.000E-04, 3.000E-04, 1.525E-19, 8.593E-28, 3.556E-22, 1.000E-04
  4.000E-07, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 7.520E-30, 3.000E-01, 4.000E-01, 6.640E-17, 1.708E-17, 7.441E-15, 1.000E-04, 3.000E-04, 3.049E-19, 2.661E-27, 7.113E-22, 1.000E-04
  8.000E-07, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 3.539E-29, 3.000E-01, 4.000E-01, 1.328E-16, 3.415E-17, 1.488E-14, 1.000E-04, 3.000E-04, 6.099E-19, 1.253E-26, 1.423E-21, 1.000E-04
  1.600E-06, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 8.565E-29, 3.000E-01, 4.000E-01, 2.656E-16, 6.830E-17, 2.976E-14, 1.000E-04, 3.000E-04, 1.220E-18, 3.031E-26, 2.845E-21, 1.000E-04
  3.200E-06, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 3.303E-28, 3.000E-01, 4.000E-01, 5.312E-16, 1.366E-16, 5.953E-14, 1.000E-04, 3.000E-04, 2.439E-18, 1.169E-25, 5.691E-21, 1.000E-04
  6.400E-06, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 1.470E-27, 3.000E-01, 4.000E-01, 1.062E-15, 2.732E-16, 1.191E-13, 1.000E-04, 3.000E-04, 4.879E-18, 5.215E-25, 1.138E-20, 1.000E-04
  1.280E-05, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 5.473E-27, 3.000E-01, 4.000E-01, 2.125E-15, 5.464E-16, 2.381E-13, 1.000E-04, 3.000E-04, 9.756E-18, 1.944E-24, 2.277E-20, 1.000E-04
  2.560E-05, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 1.911E-26, 3.000E-01, 4.000E-01, 4.250E-15, 1.093E-15, 4.762E-13, 1.000E-04, 3.000E-04, 1.951E-17, 6.801E-24, 4.555E-20, 1.000E-04
  5.120E-05, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 7.451E-26, 3.000E-01, 4.000E-01, 8.501E-15, 2.186E-15, 9.525E-13, 1.000E-04, 3.000E-04, 3.901E-17, 2.697E-23, 9.114E-20, 1.000E-04
  1.024E-04, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 2.896E-25, 3.000E-01, 4.000E-01, 1.701E-14, 4.371E-15, 1.905E-12, 1.000E-04, 3.000E-04, 7.797E-17, 1.063E-22, 1.825E-19, 1.000E-04
  2.048E-04, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 1.518E-24, 3.000E-01, 4.000E-01, 3.403E-14, 8.742E-15, 3.810E-12, 1.000E-04, 3.000E-04, 1.556E-16, 5.788E-22, 3.662E-19, 1.000E-04
  4.096E-04, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 4.647E-24, 3.000E-01, 4.000E-01, 6.810E-14, 1.748E-14, 7.620E-12, 1.000E-04, 3.000E-04, 3.107E-16, 1.861E-21, 7.345E-19, 1.000E-04
  8.192E-04, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 1.721E-23, 3.000E-01, 4.000E-01, 1.364E-13, 3.497E-14, 1.524E-11, 1.000E-04, 3.000E-04, 6.187E-16, 7.669E-21, 1.479E-18, 1.000E-04
  1.638E-03, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 6.660E-23, 3.000E-01, 4.000E-01, 2.735E-13, 6.994E-14, 3.048E-11, 1.000E-04, 3.000E-04, 1.227E-15, 3.244E-20, 2.999E-18, 1.000E-04
  3.277E-03, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 2.667E-22, 3.000E-01, 4.000E-01, 5.499E-13, 1.399E-13, 6.097E-11, 1.000E-04, 3.000E-04, 2.412E-15, 1.524E-19, 6.155E-18, 1.000E-04
  6.554E-03, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 1.152E-21, 3.000E-01, 4.000E-01, 1.111E-12, 2.798E-13, 1.220E-10, 1.000E-04, 3.000E-04, 4.664E-15, 8.154E-19, 1.289E-17, 1.000E-04
  1.311E-02, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 7.003E-21, 3.000E-01, 4.000E-01, 2.262E-12, 5.595E-13, 2.440E-10, 1.000E-04, 3.000E-04, 8.731E-15, 4.792E-18, 2.774E-17, 1.000E-04
  2.621E-02, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 6.994E-20, 3.000E-01, 4.000E-01, 4.658E-12, 1.119E-12, 4.882E-10, 1.000E-04, 3.000E-04, 1.537E-14, 3.022E-17, 6.117E-17, 1.000E-04
  5.243E-02, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 1.083E-18, 3.000E-01, 4.000E-01, 9.710E-12, 2.238E-12, 9.771E-10, 1.000E-04, 3.000E-04, 2.423E-14, 1.974E-16, 1.336E-16, 1.000E-04
  1.049E-01, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 2.058E-17, 3.000E-01, 4.000E-01, 2.029E-11, 4.476E-12, 1.956E-09, 1.000E-04, 3.000E-04, 3.229E-14, 1.308E-15, 2.661E-16, 1.000E-04
  2.097E-01, 1.0000E+03,  100.00,   10.00, 1.0169E+02, 3.434E-16, 3.000E-01, 4.000E-01, 4.190E-11, 8.952E-12, 3.916E-09, 1.000E-04, 3.000E-04, 3.612E-14, 8.369E-15, 4.593E-16, 1.000E-04
  4.194E-01, 1.0000E+03,   99.99,   10.00, 1.0169E+02, 4.061E-15, 3.000E-01, 4.000E-01, 8.525E-11, 1.790E-11, 7.840E-09, 9.999E-05, 3.000E-04, 3.751E-14, 4.974E-14, 7.603E-16, 1.000E-04
  8.389E-01, 1.0000E+03,   99.98,   10.00, 1.0169E+02, 3.071E-14, 3.000E-01, 4.000E-01, 1.719E-10, 3.580E-11, 1.571E-08, 9.998E-05, 3.000E-04, 3.962E-14, 2.597E-13, 1.365E-15, 1.000E-04
  1.678E+00, 1.0000E+03,   99.97,   10.00, 1.0169E+02, 1.578E-13, 3.000E-01, 4.000E-01, 3.453E-10, 7.160E-11, 3.152E-08, 9.997E-05, 3.000E-04, 4.383E-14, 1.097E-12, 2.667E-15, 1.000E-04
  3.355E+00, 1.0000E+03,   99.93,   10.00, 1.0169E+02, 6.215E-13, 3.000E-01, 4.000E-01, 6.918E-10, 1.432E-10, 6.330E-08, 9.994E-05, 3.000E-04, 5.223E-14, 3.559E-12, 5.534E-15, 1.000E-04
  6.711E+00, 1.0000E+03,   99.86,   10.00, 1.0169E+02, 1.993E-12, 3.000E-01, 4.000E-01, 1.384E-09, 2.861E-10, 1.267E-07, 9.987E-05, 3.000E-04, 6.900E-14, 9.365E-12, 1.180E-14, 9.999E-05
  1.342E+01, 1.0000E+03,   99.73,   10.00, 1.0169E+02, 5.384E-12, 3.000E-01, 4.000E-01, 2.765E-09, 5.716E-10, 2.516E-07, 9.975E-05, 3.000E-04, 1.024E-13, 2.235E-11, 2.497E-14, 9.998E-05
  2.684E+01, 1.0000E+03,   99.45,   10.00, 1.0169E+02, 1.321E-11, 3.000E-01, 4.000E-01, 5.516E-09, 1.140E-09, 4.933E-07, 9.951E-05, 3.000E-04, 1.686E-13, 5.316E-11, 5.189E-14, 9.996E-05
  5.369E+01, 1.0000E+03,   98.91,   10.00, 1.0169E+02, 3.205E-11, 3.000E-01, 3.999E-01, 1.097E-08, 2.270E-09, 9.461E-07, 9.905E-05, 3.000E-04, 2.986E-13, 1.348E-10, 1.069E-13, 9.991E-05
  1.074E+02, 1.0000E+03,   97.86,   10.00, 1.0169E+02, 8.017E-11, 3.001E-01, 3.998E-01, 2.173E-08, 4.497E-09, 1.744E-06, 9.826E-05, 3.000E-04, 5.504E-13, 3.825E-10, 2.207E-13, 9.983E-05
  2.147E+02, 1.0000E+03,   95.84,   10.00, 1.0169E+02, 2.042E-10, 3.002E-01, 3.996E-01, 4.274E-08, 8.826E-09, 2.997E-06, 9.700E-05, 3.000E-04, 1.024E-12, 1.238E-09, 4.554E-13, 9.965E-05
  4.295E+02, 1.0000E+03,   92.15,   10.00, 1.0169E+02, 4.964E-10, 3.004E-01, 3.992E-01, 8.334E-08, 1.701E-08, 4.625E-06, 9.537E-05, 3.000E-04, 1.872E-12, 4.451E-09, 9.196E-13, 9.929E-05
  8.590E+02, 1.0000E+03,   86.11,   10.00, 1.0169E+02, 1.050E-09, 3.007E-01, 3.985E-01, 1.609E-07, 3.164E-08, 6.326E-06, 9.366E-05, 3.000E-04, 3.257E-12, 1.654E-08, 1.732E-12, 9.854E-05
  1.718E+03, 1.0000E+03,   77.64,   10.00, 1.0169E+02, 1.815E-09, 3.015E-01, 3.971E-01, 3.060E-07, 5.517E-08, 8.286E-06, 9.165E-05, 2.999E-04, 5.155E-12, 5.769E-08, 2.867E-12, 9.697E-05
  1.818E+03, 1.0000E+03,   76.91,   10.00, 1.0169E+02, 1.686E-09, 3.015E-01, 3.969E-01, 3.236E-07, 5.753E-08, 8.499E-06, 9.144E-05, 2.999E-04, 4.055E-12, 6.384E-08, 2.827E-12, 9.677E-05
  1.918E+03, 1.0000E+03,   76.21,   10.00, 1.0169E+02, 1.620E-09, 3.016E-01, 3.967E-01, 3.408E-07, 5.980E-08, 8.712E-06, 9.122E-05, 2.999E-04, 4.146E-12, 6.974E-08, 2.743E-12, 9.658E-05
  2.018E+03, 1.0000E+03,   75.56,   10.00, 1.0169E+02, 1.590E-09, 3.017E-01, 3.966E-01, 3.579E-07, 6.200E-08, 8.925E-06, 9.100E-05, 2.999E-04, 4.229E-12, 7.553E-08, 2.707E-12, 9.638E-05
  2.118E+03, 1.0000E+03,   74.89,   10.00, 1.0169E+02, 1.583E-09, 3.018E-01, 3.964E-01, 3.748E-07, 6.414E-08, 9.138E-06, 9.078E-05, 2.999E-04, 4.308E-12, 8.127E-08, 2.701E-12, 9.618E-05
  2.218E+03, 1.0000E+03,   74.29,   10.00, 1.0169E+02, 1.587E-09, 3.019E-01, 3.962E-01, 3.915E-07, 6.620E-08, 9.350E-06, 9.056E-05, 2.999E-04, 4.373E-12, 8.703E-08, 2.711E-12, 9.598E-05
  2.318E+03, 1.0000E+03,   73.73,   10.00, 1.0169E+02, 1.598E-09, 3.020E-01, 3.961E-01, 4.082E-07, 6.820E-08, 9.563E-06, 9.034E-05, 2.999E-04, 4.441E-12, 9.281E-08, 2.731E-12, 9.578E-05
  2.418E+03, 1.0000E+03,   73.21,   10.00, 1.0169E+02, 1.613E-09, 3.020E-01, 3.959E-01, 4.247E-07, 7.013E-08, 9.776E-06, 9.012E-05, 2.999E-04, 4.507E-12, 9.864E-08, 2.756E-12, 9.558E-05
  2.518E+03, 1.0000E+03,   72.70,   10.00, 1.0169E+02, 1.631E-09, 3.021E-01, 3.958E-01, 4.411E-07, 7.201E-08, 9.990E-06, 8.990E-05, 2.999E-04, 4.572E-12, 1.045E-07, 2.785E-12, 9.538E-05
  2.618E+03, 1.0000E+03,   72.21,   10.00, 1.0169E+02, 1.650E-09, 3.022E-01, 3.956E-01, 4.574E-07, 7.382E-08, 1.020E-05, 8.968E-05, 2.999E-04, 4.632E-12, 1.105E-07, 2.816E-12, 9.518E-05
  2.718E+03, 1.0000E+03,   71.75,   10.00, 1.0169E+02, 1.669E-09, 3.023E-01, 3.954E-01, 4.736E-07, 7.557E-08, 1.042E-05, 8.947E-05, 2.999E-04, 4.689E-12, 1.165E-07, 2.846E-12, 9.498E-05
  2.818E+03, 1.0000E+03,   71.31,   10.00, 1.0169E+02, 1.688E-09, 3.024E-01, 3.953E-01, 4.897E-07, 7.727E-08, 1.063E-05, 8.925E-05, 2.999E-04, 4.745E-12, 1.226E-07, 2.877E-12, 9.478E-05
  2.918E+03, 1.0000E+03,   70.88,   10.00, 1.0169E+02, 1.707E-09, 3.024E-01, 3.951E-01, 5.057E-07, 7.892E-08, 1.084E-05, 8.903E-05, 2.999E-04, 4.798E-12, 1.287E-07, 2.906E-12, 9.458E-05
  3.018E+03, 1.0000E+03,   70.47,   10.00, 1.0169E+02, 1.725E-09, 3.025E-01, 3.949E-01, 5.216E-07, 8.051E-08, 1.106E-05, 8.881E-05, 2.998E-04, 4.850E-12, 1.349E-07, 2.935E-12, 9.437E-05
  3.118E+03, 1.0000E+03,   70.09,   10.00, 1.0169E+02, 1.743E-09, 3.026E-01, 3.948E-01, 5.375E-07, 8.205E-08, 1.127E-05, 8.858E-05, 2.998E-04, 4.899E-12, 1.411E-07, 2.964E-12, 9.417E-05
  3.218E+03, 1.0000E+03,   69.72,   10.00, 1.0169E+02, 1.761E-09, 3.027E-01, 3.946E-01, 5.532E-07, 8.354E-08, 1.149E-05, 8.836E-05, 2.998E-04, 4.948E-12, 1.474E-07, 2.991E-12, 9.397E-05
  3.318E+03, 1.0000E+03,   69.37,   10.00, 1.0169E+02, 1.778E-09, 3.028E-01, 3.945E-01, 5.688E-07, 8.498E-08, 1.170E-05, 8.814E-05, 2.998E-04, 4.997E-12, 1.538E-07, 3.018E-12, 9.376E-05
  3.418E+03, 1.0000E+03,   69.03,   10.00, 1.0169E+02, 1.796E-09, 3.028E-01, 3.943E-01, 5.844E-07, 8.638E-08, 1.191E-05, 8.792E-05, 2.998E-04, 5.045E-12, 1.602E-07, 3.045E-12, 9.356E-05
  3.518E+03, 1.0000E+03,   68.71,   10.00, 1.0169E+02, 1.813E-09, 3.029E-01, 3.941E-01, 5.998E-07, 8.773E-08, 1.213E-05, 8.770E-05, 2.998E-04, 5.091E-12, 1.667E-07, 3.071E-12, 9.336E-05
  3.618E+03, 1.0000E+03,   68.40,   10.00, 1.0169E+02, 1.830E-09, 3.030E-01, 3.940E-01, 6.152E-07, 8.904E-08, 1.234E-05, 8.748E-05, 2.998E-04, 5.136E-12, 1.732E-07, 3.097E-12, 9.315E-05
  3.718E+03, 1.0000E+03,   68.10,   10.00, 1.0169E+02, 1.847E-09, 3.031E-01, 3.938E-01, 6.305E-07, 9.031E-08, 1.256E-05, 8.726E-05, 2.998E-04, 5.180E-12, 1.797E-07, 3.122E-12, 9.295E-05
  3.818E+03, 1.0000E+03,   67.81,   10.00, 1.0169E+02, 1.864E-09, 3.032E-01, 3.937E-01, 6.457E-07, 9.153E-08, 1.277E-05, 8.704E-05, 2.998E-04, 5.223E-12, 1.864E-07, 3.147E-12, 9.274E-05
  3.918E+03, 1.0000E+03,   67.54,   10.00, 1.0169E+02, 1.881E-09, 3.032E-01, 3.935E-01, 6.608E-07, 9.272E-08, 1.298E-05, 8.682E-05, 2.998E-04, 5.266E-12, 1.930E-07, 3.171E-12, 9.254E-05
  4.018E+03, 1.0000E+03,   67.28,   10.00, 1.0169E+02, 1.898E-09, 3.033E-01, 3.933E-01, 6.758E-07, 9.387E-08, 1.320E-05, 8.660E-05, 2.998E-04, 5.308E-12, 1.997E-07, 3.195E-12, 9.234E-05
  4.118E+03, 1.0000E+03,   67.02,   10.00, 1.0169E+02, 1.914E-09, 3.034E-01, 3.932E-01, 6.907E-07, 9.498E-08, 1.341E-05, 8.638E-05, 2.998E-04, 5.350E-12, 2.065E-07, 3.218E-12, 9.213E-05
  4.218E+03, 1.0000E+03,   66.77,   10.00, 1.0169E+02, 1.931E-09, 3.035E-01, 3.930E-01, 7.056E-07, 9.605E-08, 1.362E-05, 8.616E-05, 2.998E-04, 5.391E-12, 2.133E-07, 3.242E-12, 9.193E-05
  4.318E+03, 1.0000E+03,   66.54,   10.00, 1.0169E+02, 1.947E-09, 3.036E-01, 3.929E-01, 7.203E-07, 9.709E-08, 1.384E-05, 8.594E-05, 2.998E-04, 5.431E-12, 2.201E-07, 3.265E-12, 9.172E-05
  4.418E+03, 1.0000E+03,   66.31,   10.00, 1.0169E+02, 1.964E-09, 3.036E-01, 3.927E-01, 7.350E-07, 9.809E-08, 1.405E-05, 8.572E-05, 2.998E-04, 5.471E-12, 2.270E-07, 3.287E-12, 9.152E-05
  4.518E+03, 1.0000E+03,   65.93,   10.00, 1.0169E+02, 1.980E-09, 3.037E-01, 3.926E-01, 7.495E-07, 9.906E-08, 1.426E-05, 8.550E-05, 2.997E-04, 5.510E-12, 2.340E-07, 3.310E-12, 9.132E-05
  4.618E+03, 1.0000E+03,   65.72,   10.00, 1.0169E+02, 1.989E-09, 3.038E-01, 3.924E-01, 7.641E-07, 1.000E-07, 1.447E-05, 8.528E-05, 2.997E-04, 5.501E-12, 2.410E-07, 3.324E-12, 9.111E-05
  4.718E+03, 1.0000E+03,   65.53,   10.00, 1.0169E+02, 2.001E-09, 3.039E-01, 3.922E-01, 7.785E-07, 1.009E-07, 1.468E-05, 8.506E-05, 2.997E-04, 5.542E-12, 2.480E-07, 3.340E-12, 9.091E-05
  4.818E+03, 1.0000E+03,   65.34,   10.00, 1.0169E+02, 2.015E-09, 3.040E-01, 3.921E-01, 7.929E-07, 1.018E-07, 1.490E-05, 8.485E-05, 2.997E-04, 5.582E-12, 2.550E-07, 3.358E-12, 9.070E-05
  4.918E+03, 1.0000E+03,   65.16,   10.00, 1.0169E+02, 2.031E-09, 3.040E-01, 3.919E-01, 8.071E-07, 1.026E-07, 1.511E-05, 8.463E-05, 2.997E-04, 5.622E-12, 2.621E-07, 3.378E-12, 9.050E-05
  5.018E+03, 1.0000E+03,   64.98,   10.00, 1.0169E+02, 2.047E-09, 3.041E-01, 3.918E-01, 8.213E-07, 1.035E-07, 1.532E-05, 8.441E-05, 2.997E-04, 5.662E-12, 2.692E-07, 3.398E-12, 9.030E-05
  5.118E+03, 1.0000E+03,   64.81,   10.00, 1.0169E+02, 2.064E-09, 3.042E-01, 3.916E-01, 8.354E-07, 1.042E-07, 1.553E-05, 8.419E-05, 2.997E-04, 5.701E-12, 2.763E-07, 3.420E-12, 9.009E-05
  5.218E+03, 1.0000E+03,   64.65,   10.00, 1.0169E+02, 2.081E-09, 3.043E-01, 3.915E-01, 8.494E-07, 1.050E-07, 1.574E-05, 8.397E-05, 2.997E-04, 5.740E-12, 2.835E-07, 3.441E-12, 8.989E-05
  5.318E+03, 1.0000E+03,   64.49,   10.00, 1.0169E+02, 2.098E-09, 3.043E-01, 3.913E-01, 8.633E-07, 1.057E-07, 1.595E-05, 8.376E-05, 2.997E-04, 5.780E-12, 2.907E-07, 3.463E-12, 8.969E-05
  5.418E+03, 1.0000E+03,   64.34,   10.00, 1.0169E+02, 2.116E-09, 3.044E-01, 3.911E-01, 8.771E-07, 1.065E-07, 1.616E-05, 8.354E-05, 2.997E-04, 5.819E-12, 2.980E-07, 3.486E-12, 8.949E-05
  5.518E+03, 1.0000E+03,   64.20,   10.00, 1.0169E+02, 2.134E-09, 3.045E-01, 3.910E-01, 8.908E-07, 1.071E-07, 1.637E-05, 8.332E-05, 2.997E-04, 5.858E-12, 3.053E-07, 3.508E-12, 8.928E-05
  5.618E+03, 1.0000E+03,   64.05,   10.00, 1.0169E+02, 2.152E-09, 3.046E-01, 3.908E-01, 9.044E-07, 1.078E-07, 1.658E-05, 8.311E-05, 2.997E-04, 5.897E-12, 3.127E-07, 3.531E-12, 8.908E-05
  5.718E+03, 1.0000E+03,   63.91,   10.00, 1.0169E+02, 2.170E-09, 3.047E-01, 3.907E-01, 9.179E-07, 1.084E-07, 1.678E-05, 8.289E-05, 2.997E-04, 5.934E-12, 3.201E-07, 3.553E-12, 8.888E-05
  5.818E+03, 1.0000E+03,   63.70,   10.00, 1.0169E+02, 2.188E-09, 3.047E-01, 3.905E-01, 9.314E-07, 1.091E-07, 1.699E-05, 8.268E-05, 2.997E-04, 5.972E-12, 3.276E-07, 3.575E-12, 8.868E-05
  5.918E+03, 1.0000E+03,   63.47,   10.00, 1.0169E+02, 2.201E-09, 3.048E-01, 3.904E-01, 9.448E-07, 1.097E-07, 1.720E-05, 8.246E-05, 2.996E-04, 5.983E-12, 3.351E-07, 3.592E-12, 8.848E-05
  6.018E+03, 1.0000E+03,   63.36,   10.00, 1.0169E+02, 2.211E-09, 3.049E-01, 3.902E-01, 9.581E-07, 1.102E-07, 1.741E-05, 8.225E-05, 2.996E-04, 5.986E-12, 3.426E-07, 3.605E-12, 8.828E-05
  6.118E+03, 1.0000E+03,   63.24,   10.00, 1.0169E+02, 2.224E-09, 3.050E-01, 3.901E-01, 9.714E-07, 1.108E-07, 1.761E-05, 8.203E-05, 2.996E-04, 6.027E-12, 3.501E-07, 3.619E-12, 8.808E-05
  6.218E+03, 1.0000E+03,   63.14,   10.00, 1.0169E+02, 2.240E-09, 3.050E-01, 3.899E-01, 9.845E-07, 1.113E-07, 1.782E-05, 8.182E-05, 2.996E-04, 6.067E-12, 3.577E-07, 3.636E-12, 8.788E-05
  6.318E+03, 1.0000E+03,   63.03,   10.00, 1.0169E+02, 2.258E-09, 3.051E-01, 3.897E-01, 9.976E-07, 1.118E-07, 1.802E-05, 8.161E-05, 2.996E-04, 6.107E-12, 3.653E-07, 3.657E-12, 8.768E-05
  6.418E+03, 1.0000E+03,   62.93,   10.00, 1.0169E+02, 2.276E-09, 3.052E-01, 3.896E-01, 1.011E-06, 1.123E-07, 1.823E-05, 8.139E-05, 2.996E-04, 6.148E-12, 3.729E-07, 3.678E-12, 8.748E-05
  6.518E+03, 1.0000E+03,   62.83,   10.00, 1.0169E+02, 2.295E-09, 3.053E-01, 3.894E-01, 1.023E-06, 1.128E-07, 1.843E-05, 8.118E-05, 2.996E-04, 6.188E-12, 3.806E-07, 3.700E-12, 8.728E-05
  6.618E+03, 1.0000E+03,   62.73,   10.00, 1.0169E+02, 2.313E-09, 3.054E-01, 3.893E-01, 1.036E-06, 1.133E-07, 1.864E-05, 8.097E-05, 2.996E-04, 6.224E-12, 3.883E-07, 3.722E-12, 8.708E-05
  6.718E+03, 1.0000E+03,   62.64,   10.00, 1.0169E+02, 2.332E-09, 3.054E-01, 3.891E-01, 1.049E-06, 1.137E-07, 1.884E-05, 8.076E-05, 2.996E-04, 6.263E-12, 3.961E-07, 3.744E-12, 8.688E-05
  6.818E+03, 1.0000E+03,   62.56,   10.00, 1.0169E+02, 2.352E-09, 3.055E-01, 3.890E-01, 1.061E-06, 1.141E-07, 1.904E-05, 8.055E-05, 2.996E-04, 6.303E-12, 4.039E-07, 3.766E-12, 8.669E-05
  6.918E+03, 1.0000E+03,   62.47,   10.00, 1.0169E+02, 2.371E-09, 3.056E-01, 3.888E-01, 1.074E-06, 1.145E-07, 1.925E-05, 8.034E-05, 2.996E-04, 6.343E-12, 4.117E-07, 3.789E-12, 8.649E-05
  7.018E+03, 1.0000E+03,   62.31,   10.00, 1.0169E+02, 2.391E-09, 3.057E-01, 3.887E-01, 1.086E-06, 1.149E-07, 1.945E-05, 8.013E-05, 2.996E-04, 6.383E-12, 4.196E-07, 3.812E-12, 8.629E-05
  7.118E+03, 1.0000E+03,   62.21,   10.00, 1.0169E+02, 2.407E-09, 3.057E-01, 3.885E-01, 1.099E-06, 1.153E-07, 1.965E-05, 7.992E-05, 2.995E-04, 6.393E-12, 4.276E-07, 3.830E-12, 8.610E-05
  7.218E+03, 1.0000E+03,   62.14,   10.00, 1.0169E+02, 2.422E-09, 3.058E-01, 3.884E-01, 1.111E-06, 1.156E-07, 1.985E-05, 7.971E-05, 2.995E-04, 6.424E-12, 4.355E-07, 3.847E-12, 8.590E-05
  7.318E+03, 1.0000E+03,   62.07,   10.00, 1.0169E+02, 2.440E-09, 3.059E-01, 3.882E-01, 1.123E-06, 1.160E-07, 2.005E-05, 7.950E-05, 2.995E-04, 6.464E-12, 4.435E-07, 3.866E-12, 8.570E-05
  7.418E+03, 1.0000E+03,   62.00,   10.00, 1.0169E+02, 2.460E-09, 3.060E-01, 3.881E-01, 1.135E-06, 1.163E-07, 2.025E-05, 7.929E-05, 2.995E-04, 6.505E-12, 4.516E-07, 3.888E-12, 8.551E-05
  7.518E+03, 1.0000E+03,   61.94,   10.00, 1.0169E+02, 2.480E-09, 3.060E-01, 3.879E-01, 1.147E-06, 1.166E-07, 2.045E-05, 7.909E-05, 2.995E-04, 6.545E-12, 4.597E-07, 3.910E-12, 8.531E-05
  7.618E+03, 1.0000E+03,   61.87,   10.00, 1.0169E+02, 2.500E-09, 3.061E-01, 3.878E-01, 1.159E-06, 1.169E-07, 2.065E-05, 7.888E-05, 2.995E-04, 6.585E-12, 4.678E-07, 3.932E-12, 8.512E-05
  7.718E+03, 1.0000E+03,   61.81,   10.00, 1.0169E+02, 2.521E-09, 3.062E-01, 3.876E-01, 1.171E-06, 1.172E-07, 2.085E-05, 7.867E-05, 2.995E-04, 6.625E-12, 4.759E-07, 3.955E-12, 8.492E-05
  7.818E+03, 1.0000E+03,   61.74,   10.00, 1.0169E+02, 2.542E-09, 3.063E-01, 3.874E-01, 1.183E-06, 1.175E-07, 2.104E-05, 7.847E-05, 2.995E-04, 6.665E-12, 4.841E-07, 3.978E-12, 8.473E-05
  7.918E+03, 1.0000E+03,   61.69,   10.00, 1.0169E+02, 2.562E-09, 3.064E-01, 3.873E-01, 1.195E-06, 1.177E-07, 2.124E-05, 7.826E-05, 2.995E-04, 6.702E-12, 4.924E-07, 4.001E-12, 8.454E-05
  8.018E+03, 1.0000E+03,   61.63,   10.00, 1.0169E+02, 2.583E-09, 3.064E-01, 3.871E-01, 1.206E-06, 1.180E-07, 2.144E-05, 7.806E-05, 2.995E-04, 6.741E-12, 5.007E-07, 4.024E-12, 8.435E-05
  8.118E+03, 1.0000E+03,   61.58,   10.00, 1.0169E+02, 2.605E-09, 3.065E-01, 3.870E-01, 1.218E-06, 1.182E-07, 2.163E-05, 7.786E-05, 2.995E-04, 6.781E-12, 5.090E-07, 4.047E-12, 8.415E-05
  8.218E+03, 1.0000E+03,   61.52,   10.00, 1.0169E+02, 2.626E-09, 3.066E-01, 3.868E-01, 1.229E-06, 1.185E-07, 2.183E-05, 7.765E-05, 2.995E-04, 6.821E-12, 5.174E-07, 4.070E-12, 8.396E-05
  8.318E+03, 1.0000E+03,   61.46,   10.00, 1.0169E+02, 2.647E-09, 3.067E-01, 3.867E-01, 1.240E-06, 1.187E-07, 2.202E-05, 7.745E-05, 2.994E-04, 6.857E-12, 5.259E-07, 4.093E-12, 8.377E-05
  8.418E+03, 1.0000E+03,   61.41,   10.00, 1.0169E+02, 2.668E-09, 3.067E-01, 3.865E-01, 1.252E-06, 1.189E-07, 2.222E-05, 7.725E-05, 2.994E-04, 6.892E-12, 5.343E-07, 4.116E-12, 8.358E-05
  8.518E+03, 1.0000E+03,   61.36,   10.00, 1.0169E+02, 2.689E-09, 3.068E-01, 3.864E-01, 1.263E-06, 1.191E-07, 2.241E-05, 7.705E-05, 2.994E-04, 6.931E-12, 5.428E-07, 4.138E-12, 8.339E-05
  8.618E+03, 1.0000E+03,   61.31,   10.00, 1.0169E+02, 2.710E-09, 3.069E-01, 3.862E-01, 1.274E-06, 1.192E-07, 2.260E-05, 7.684E-05, 2.994E-04, 6.967E-12, 5.514E-07, 4.160E-12, 8.320E-05
  8.718E+03, 1.0000E+03,   61.27,   10.00, 1.0169E+02, 2.731E-09, 3.070E-01, 3.861E-01, 1.285E-06, 1.194E-07, 2.279E-05, 7.664E-05, 2.994E-04, 7.006E-12, 5.600E-07, 4.183E-12, 8.301E-05
