Time,Density,gasTemp,dustTemp,av,H2O     ,H2      ,H       ,H+      ,HE+     ,C       ,C+      ,O       ,O+      ,CO      ,CO+     ,CO2     ,#CO     ,#H2O    ,E-      
  1.000E-07, 1.0000E+03,  100.00,   14.69, 1.0024E+02, 2.238E-30, 3.000E-01, 4.000E-01, 1.440E-17, 3.697E-18, 1.860E-15, 1.000E-04, 3.000E-04, 6.674E-20, 4.390E-28, 1.778E-22, 2.000E-30, 1.000E-30, 1.000E-30, 1.000E-04
  2.000E-07, 1.0000E+03,  100.00,   10.00, 1.0024E+02, 4.200E-30, 3.000E-01, 4.000E-01, 2.881E-17, 7.394E-18, 3.721E-15, 1.000E-04, 3.000E-04, 1.335E-19, 7.793E-28, 3.556E-22, 3.001E-30, 1.000E-30, 1.000E-30, 1.000E-04
  4.000E-07, 1.0000E+03,  100.00,   10.00, 1.0024E+02, 1.240E-29, 3.000E-01, 4.000E-01, 5.761E-17, 1.479E-17, 7.441E-15, 1.000E-04, 3.000E-04, 2.670E-19, 3.328E-27, 7.113E-22, 4.002E-30, 1.000E-30, 1.000E-30, 1.000E-04
  8.000E-07, 1.0000E+03,  100.00,   10.00, 1.0024E+02, 3.693E-29, 3.000E-01, 4.000E-01, 1.152E-16, 2.958E-17, 1.488E-14, 1.000E-04, 3.000E-04, 5.339E-19, 1.165E-26, 1.423E-21, 5.004E-30, 1.000E-30, 1.000E-30, 1.000E-04
  1.600E-06, 1.0000E+03,  100.00,   10.00, 1.0024E+02, 1.056E-28, 3.000E-01, 4.000E-01, 2.304E-16, 5.916E-17, 2.976E-14, 1.000E-04, 3.000E-04, 1.068E-18, 3.558E-26, 2.845E-21, 6.004E-30, 1.000E-30, 1.000E-30, 1.000E-04
  3.200E-06, 1.0000E+03,  100.00,   10.00, 1.0024E+02, 3.895E-28, 3.000E-01, 4.000E-01, 4.609E-16, 1.183E-16, 5.953E-14, 1.000E-04, 3.000E-04, 2.136E-18, 1.359E-25, 5.691E-21, 7.004E-30, 1.000E-30, 1.000E-30, 1.000E-04
  6.400E-06, 1.0000E+03,  100.00,   10.00, 1.0024E+02, 1.445E-27, 3.000E-01, 4.000E-01, 9.218E-16, 2.366E-16, 1.191E-13, 1.000E-04, 3.000E-04, 4.271E-18, 5.094E-25, 1.138E-20, 8.006E-30, 1.000E-30, 1.000E-30, 1.000E-04
  1.280E-05, 1.0000E+03,  100.00,   10.00, 1.0024E+02, 5.019E-27, 3.000E-01, 4.000E-01, 1.844E-15, 4.732E-16, 2.381E-13, 1.000E-04, 3.000E-04, 8.541E-18, 1.777E-24, 2.277E-20, 9.006E-30, 1.000E-30, 1.000E-30, 1.000E-04
  2.560E-05, 1.0000E+03,  100.00,   10.00, 1.0024E+02, 1.843E-26, 3.000E-01, 4.000E-01, 3.687E-15, 9.465E-16, 4.762E-13, 1.000E-04, 3.000E-04, 1.708E-17, 6.566E-24, 4.554E-20, 1.001E-29, 1.000E-30, 1.000E-30, 1.000E-04
  5.120E-05, 1.0000E+03,  100.00,   10.00, 1.0024E+02, 7.325E-26, 3.000E-01, 4.000E-01, 7.376E-15, 1.893E-15, 9.525E-13, 1.000E-04, 3.000E-04, 3.415E-17, 2.634E-23, 9.112E-20, 1.101E-29, 1.000E-30, 1.000E-30, 1.000E-04
