Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
32 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70896E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79010E-24 3.78394E-21 1.28202E-06 2.85581E-23 5.98102E-18 1.11861E-27 1.38959E-18 2.69401E-17 3.05742E-10 1.00000E-01 2.03367E-12 9.18659E-15 1.95018E-12 3.00000E-04 4.34775E-07 9.99998E-01 1.06283E-04
33 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70897E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79010E-24 3.78394E-21 1.28202E-06 2.85581E-23 5.98102E-18 1.11861E-27 1.38959E-18 2.69401E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18659E-15 1.95018E-12 3.00000E-04 4.34775E-07 9.99998E-01 1.06283E-04
34 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70897E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79010E-24 3.78394E-21 1.28202E-06 2.85581E-23 5.98102E-18 1.11861E-27 1.38959E-18 2.69401E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18659E-15 1.95018E-12 3.00000E-04 4.34775E-07 9.99998E-01 1.06283E-04
35 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70897E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79010E-24 3.78394E-21 1.28202E-06 2.85581E-23 5.98102E-18 1.11861E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18659E-15 1.95018E-12 3.00000E-04 4.34775E-07 9.99998E-01 1.06283E-04
36 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70897E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79010E-24 3.78394E-21 1.28202E-06 2.85581E-23 5.98102E-18 1.11861E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18659E-15 1.95018E-12 3.00000E-04 4.34775E-07 9.99998E-01 1.06283E-04
37 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70897E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79011E-24 3.78394E-21 1.28202E-06 2.85581E-23 5.98103E-18 1.11861E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18659E-15 1.95018E-12 3.00000E-04 4.34775E-07 9.99998E-01 1.06283E-04
38 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70897E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79011E-24 3.78394E-21 1.28202E-06 2.85581E-23 5.98103E-18 1.11861E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18659E-15 1.95018E-12 3.00000E-04 4.34775E-07 9.99998E-01 1.06283E-04
39 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70897E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79011E-24 3.78395E-21 1.28202E-06 2.85582E-23 5.98103E-18 1.11861E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18659E-15 1.95018E-12 3.00000E-04 4.34776E-07 9.99998E-01 1.06283E-04
40 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70897E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79011E-24 3.78395E-21 1.28202E-06 2.85582E-23 5.98103E-18 1.11861E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18659E-15 1.95018E-12 3.00000E-04 4.34776E-07 9.99998E-01 1.06283E-04
41 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70897E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79011E-24 3.78395E-21 1.28202E-06 2.85582E-23 5.98103E-18 1.11861E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18659E-15 1.95018E-12 3.00000E-04 4.34776E-07 9.99998E-01 1.06283E-04
42 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70897E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79011E-24 3.78395E-21 1.28202E-06 2.85582E-23 5.98103E-18 1.11861E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18659E-15 1.95018E-12 3.00000E-04 4.34776E-07 9.99998E-01 1.06283E-04
43 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70897E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79011E-24 3.78395E-21 1.28202E-06 2.85582E-23 5.98103E-18 1.11861E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18660E-15 1.95018E-12 3.00000E-04 4.34776E-07 9.99998E-01 1.06283E-04
44 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70897E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79011E-24 3.78395E-21 1.28202E-06 2.85582E-23 5.98103E-18 1.11861E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18660E-15 1.95018E-12 3.00000E-04 4.34776E-07 9.99998E-01 1.06283E-04
45 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70897E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79011E-24 3.78395E-21 1.28202E-06 2.85582E-23 5.98103E-18 1.11862E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18660E-15 1.95018E-12 3.00000E-04 4.34776E-07 9.99998E-01 1.06283E-04
46 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70897E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79011E-24 3.78395E-21 1.28202E-06 2.85582E-23 5.98103E-18 1.11862E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18660E-15 1.95018E-12 3.00000E-04 4.34776E-07 9.99998E-01 1.06283E-04
47 4.46994E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27790E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70898E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79011E-24 3.78395E-21 1.28202E-06 2.85582E-23 5.98103E-18 1.11862E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18660E-15 1.95018E-12 3.00000E-04 4.34776E-07 9.99998E-01 1.06283E-04
48 4.46994E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27790E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70898E-18 2.99229E-23 5.74411E-16 8.02507E-15 2.79011E-24 3.78395E-21 1.28202E-06 2.85582E-23 5.98103E-18 1.11862E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18660E-15 1.95018E-12 3.00000E-04 4.34776E-07 9.99998E-01 1.06283E-04
49 4.46994E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27790E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70898E-18 2.99230E-23 5.74411E-16 8.02507E-15 2.79011E-24 3.78395E-21 1.28201E-06 2.85582E-23 5.98104E-18 1.11862E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18660E-15 1.95018E-12 3.00000E-04 4.34776E-07 9.99998E-01 1.06283E-04
50 4.46994E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27790E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70898E-18 2.99230E-23 5.74411E-16 8.02507E-15 2.79011E-24 3.78395E-21 1.28201E-06 2.85582E-23 5.98104E-18 1.11862E-27 1.38959E-18 2.69402E-17 3.05743E-10 1.00000E-01 2.03367E-12 9.18660E-15 1.95018E-12 3.00000E-04 4.34776E-07 9.99998E-01 1.06283E-04
